"...1","order.id","order.line","order.date","customer.id","product.id","quantity"
"1",1,1,2011-01-07,2,48,1
"2",1,2,2011-01-07,2,52,1
"3",2,1,2011-01-10,10,76,1
"4",2,2,2011-01-10,10,52,1
"5",3,1,2011-01-10,6,2,1
"6",3,2,2011-01-10,6,50,1
"7",3,3,2011-01-10,6,1,1
"8",3,4,2011-01-10,6,4,1
"9",3,5,2011-01-10,6,34,1
"10",4,1,2011-01-11,22,26,1
"11",5,1,2011-01-11,8,96,1
"12",5,2,2011-01-11,8,66,2
"13",5,3,2011-01-11,8,35,1
"14",5,4,2011-01-11,8,72,1
"15",6,1,2011-01-11,16,45,1
"16",6,2,2011-01-11,16,39,1
"17",6,3,2011-01-11,16,87,1
"18",6,4,2011-01-11,16,31,1
"19",7,1,2011-01-12,9,2,1
"20",7,2,2011-01-12,9,15,1
"21",7,3,2011-01-12,9,10,1
"22",7,4,2011-01-12,9,65,1
"23",7,5,2011-01-12,9,87,1
"24",7,6,2011-01-12,9,55,1
"25",7,7,2011-01-12,9,7,1
"26",7,8,2011-01-12,9,67,1
"27",7,9,2011-01-12,9,61,1
"28",7,10,2011-01-12,9,18,2
"29",7,11,2011-01-12,9,96,1
"30",7,12,2011-01-12,9,42,1
"31",7,13,2011-01-12,9,56,1
"32",7,14,2011-01-12,9,93,2
"33",8,1,2011-01-12,16,35,1
"34",8,2,2011-01-12,16,96,3
"35",9,1,2011-01-17,25,29,1
"36",9,2,2011-01-17,25,13,2
"37",9,3,2011-01-17,25,18,1
"38",9,4,2011-01-17,25,16,1
"39",9,5,2011-01-17,25,36,5
"40",10,1,2011-01-17,20,19,1
"41",11,1,2011-01-18,19,11,1
"42",11,2,2011-01-18,19,13,2
"43",11,3,2011-01-18,19,10,1
"44",11,4,2011-01-18,19,39,1
"45",11,5,2011-01-18,19,23,1
"46",11,6,2011-01-18,19,65,1
"47",11,7,2011-01-18,19,43,1
"48",12,1,2011-01-20,6,27,2
"49",12,2,2011-01-20,6,49,1
"50",12,3,2011-01-20,6,67,1
"51",12,4,2011-01-20,6,11,1
"52",12,5,2011-01-20,6,26,1
"53",12,6,2011-01-20,6,39,1
"54",12,7,2011-01-20,6,28,1
"55",12,8,2011-01-20,6,32,1
"56",12,9,2011-01-20,6,22,1
"57",12,10,2011-01-20,6,13,1
"58",12,11,2011-01-20,6,29,1
"59",12,12,2011-01-20,6,63,1
"60",12,13,2011-01-20,6,31,1
"61",12,14,2011-01-20,6,15,1
"62",12,15,2011-01-20,6,40,1
"63",12,16,2011-01-20,6,10,3
"64",12,17,2011-01-20,6,37,1
"65",12,18,2011-01-20,6,8,1
"66",12,19,2011-01-20,6,57,1
"67",13,1,2011-01-20,7,4,1
"68",13,2,2011-01-20,7,18,1
"69",14,1,2011-01-24,14,87,1
"70",14,2,2011-01-24,14,76,1
"71",14,3,2011-01-24,14,69,1
"72",15,1,2011-01-25,13,3,1
"73",15,2,2011-01-25,13,35,1
"74",15,3,2011-01-25,13,65,3
"75",15,4,2011-01-25,13,5,1
"76",15,5,2011-01-25,13,19,1
"77",15,6,2011-01-25,13,84,2
"78",15,7,2011-01-25,13,90,1
"79",15,8,2011-01-25,13,16,1
"80",15,9,2011-01-25,13,1,1
"81",15,10,2011-01-25,13,88,1
"82",15,11,2011-01-25,13,44,1
"83",15,12,2011-01-25,13,22,2
"84",16,1,2011-01-25,9,73,4
"85",16,2,2011-01-25,9,91,1
"86",16,3,2011-01-25,9,95,1
"87",16,4,2011-01-25,9,94,1
"88",16,5,2011-01-25,9,3,1
"89",16,6,2011-01-25,9,72,1
"90",16,7,2011-01-25,9,65,1
"91",16,8,2011-01-25,9,49,2
"92",17,1,2011-01-26,5,38,1
"93",18,1,2011-01-28,8,21,1
"94",18,2,2011-01-28,8,64,1
"95",19,1,2011-01-28,2,66,2
"96",19,2,2011-01-28,2,61,1
"97",20,1,2011-01-28,10,9,1
"98",20,2,2011-01-28,10,14,1
"99",20,3,2011-01-28,10,50,1
"100",20,4,2011-01-28,10,85,1
"101",20,5,2011-01-28,10,16,1
"102",20,6,2011-01-28,10,27,1
"103",20,7,2011-01-28,10,79,1
"104",20,8,2011-01-28,10,78,1
"105",20,9,2011-01-28,10,77,1
"106",21,1,2011-02-01,17,51,1
"107",21,2,2011-02-01,17,3,4
"108",21,3,2011-02-01,17,61,1
"109",21,4,2011-02-01,17,26,1
"110",21,5,2011-02-01,17,65,1
"111",22,1,2011-02-01,21,33,2
"112",22,2,2011-02-01,21,36,1
"113",22,3,2011-02-01,21,74,1
"114",22,4,2011-02-01,21,37,1
"115",22,5,2011-02-01,21,87,3
"116",22,6,2011-02-01,21,24,1
"117",22,7,2011-02-01,21,43,2
"118",22,8,2011-02-01,21,79,1
"119",22,9,2011-02-01,21,28,1
"120",22,10,2011-02-01,21,10,2
"121",23,1,2011-02-04,8,48,1
"122",23,2,2011-02-04,8,71,1
"123",23,3,2011-02-04,8,92,1
"124",23,4,2011-02-04,8,30,1
"125",23,5,2011-02-04,8,42,1
"126",24,1,2011-02-07,22,40,1
"127",24,2,2011-02-07,22,29,7
"128",24,3,2011-02-07,22,2,3
"129",24,4,2011-02-07,22,37,1
"130",24,5,2011-02-07,22,6,1
"131",24,6,2011-02-07,22,73,1
"132",24,7,2011-02-07,22,42,2
"133",24,8,2011-02-07,22,97,1
"134",24,9,2011-02-07,22,92,1
"135",24,10,2011-02-07,22,18,1
"136",24,11,2011-02-07,22,12,1
"137",25,1,2011-02-07,14,16,1
"138",25,2,2011-02-07,14,13,1
"139",25,3,2011-02-07,14,71,1
"140",26,1,2011-02-09,3,13,1
"141",27,1,2011-02-10,10,8,1
"142",27,2,2011-02-10,10,79,1
"143",27,3,2011-02-10,10,20,1
"144",27,4,2011-02-10,10,92,2
"145",27,5,2011-02-10,10,71,1
"146",27,6,2011-02-10,10,70,1
"147",27,7,2011-02-10,10,78,3
"148",27,8,2011-02-10,10,89,1
"149",27,9,2011-02-10,10,80,1
"150",27,10,2011-02-10,10,61,1
"151",27,11,2011-02-10,10,69,1
"152",27,12,2011-02-10,10,40,2
"153",28,1,2011-02-10,2,47,1
"154",28,2,2011-02-10,2,79,1
"155",28,3,2011-02-10,2,61,1
"156",28,4,2011-02-10,2,97,1
"157",28,5,2011-02-10,2,66,2
"158",28,6,2011-02-10,2,5,1
"159",28,7,2011-02-10,2,58,1
"160",28,8,2011-02-10,2,89,1
"161",28,9,2011-02-10,2,7,1
"162",28,10,2011-02-10,2,72,1
"163",28,11,2011-02-10,2,6,1
"164",28,12,2011-02-10,2,25,1
"165",28,13,2011-02-10,2,75,1
"166",28,14,2011-02-10,2,38,1
"167",28,15,2011-02-10,2,62,1
"168",28,16,2011-02-10,2,60,1
"169",28,17,2011-02-10,2,52,1
"170",28,18,2011-02-10,2,12,2
"171",28,19,2011-02-10,2,15,1
"172",29,1,2011-02-11,2,79,1
"173",29,2,2011-02-11,2,69,1
"174",29,3,2011-02-11,2,66,1
"175",29,4,2011-02-11,2,54,1
"176",29,5,2011-02-11,2,3,1
"177",30,1,2011-02-14,22,9,3
"178",30,2,2011-02-14,22,7,1
"179",31,1,2011-02-15,2,65,1
"180",31,2,2011-02-15,2,71,1
"181",31,3,2011-02-15,2,82,1
"182",31,4,2011-02-15,2,50,1
"183",32,1,2011-02-15,16,19,2
"184",32,2,2011-02-15,16,45,1
"185",32,3,2011-02-15,16,53,1
"186",32,4,2011-02-15,16,34,1
"187",32,5,2011-02-15,16,71,1
"188",32,6,2011-02-15,16,69,1
"189",32,7,2011-02-15,16,28,1
"190",32,8,2011-02-15,16,12,2
"191",32,9,2011-02-15,16,75,6
"192",32,10,2011-02-15,16,7,1
"193",32,11,2011-02-15,16,76,1
"194",32,12,2011-02-15,16,80,3
"195",32,13,2011-02-15,16,44,1
"196",32,14,2011-02-15,16,56,1
"197",32,15,2011-02-15,16,91,1
"198",32,16,2011-02-15,16,60,1
"199",32,17,2011-02-15,16,26,1
"200",32,18,2011-02-15,16,15,1
"201",32,19,2011-02-15,16,46,1
"202",32,20,2011-02-15,16,82,3
"203",32,21,2011-02-15,16,73,2
"204",32,22,2011-02-15,16,85,1
"205",32,23,2011-02-15,16,16,1
"206",33,1,2011-02-15,8,97,2
"207",33,2,2011-02-15,8,93,1
"208",34,1,2011-02-16,10,97,1
"209",34,2,2011-02-16,10,2,1
"210",34,3,2011-02-16,10,19,1
"211",34,4,2011-02-16,10,71,1
"212",34,5,2011-02-16,10,94,1
"213",34,6,2011-02-16,10,41,1
"214",34,7,2011-02-16,10,72,1
"215",34,8,2011-02-16,10,30,1
"216",34,9,2011-02-16,10,90,1
"217",34,10,2011-02-16,10,47,2
"218",34,11,2011-02-16,10,92,1
"219",34,12,2011-02-16,10,55,1
"220",34,13,2011-02-16,10,14,1
"221",34,14,2011-02-16,10,95,1
"222",34,15,2011-02-16,10,76,1
"223",34,16,2011-02-16,10,42,1
"224",34,17,2011-02-16,10,9,3
"225",34,18,2011-02-16,10,89,1
"226",34,19,2011-02-16,10,83,1
"227",34,20,2011-02-16,10,84,1
"228",34,21,2011-02-16,10,93,1
"229",34,22,2011-02-16,10,18,1
"230",34,23,2011-02-16,10,13,1
"231",34,24,2011-02-16,10,96,1
"232",34,25,2011-02-16,10,56,1
"233",35,1,2011-02-17,20,12,2
"234",35,2,2011-02-17,20,77,1
"235",35,3,2011-02-17,20,86,1
"236",35,4,2011-02-17,20,74,1
"237",35,5,2011-02-17,20,36,1
"238",35,6,2011-02-17,20,90,1
"239",35,7,2011-02-17,20,18,3
"240",35,8,2011-02-17,20,46,1
"241",35,9,2011-02-17,20,1,1
"242",36,1,2011-02-18,30,75,1
"243",36,2,2011-02-18,30,24,1
"244",36,3,2011-02-18,30,39,1
"245",36,4,2011-02-18,30,69,1
"246",36,5,2011-02-18,30,86,1
"247",36,6,2011-02-18,30,47,1
"248",36,7,2011-02-18,30,72,1
"249",36,8,2011-02-18,30,81,1
"250",36,9,2011-02-18,30,79,1
"251",36,10,2011-02-18,30,54,1
"252",36,11,2011-02-18,30,63,3
"253",36,12,2011-02-18,30,27,1
"254",36,13,2011-02-18,30,68,1
"255",36,14,2011-02-18,30,74,2
"256",36,15,2011-02-18,30,66,2
"257",36,16,2011-02-18,30,85,1
"258",36,17,2011-02-18,30,26,1
"259",36,18,2011-02-18,30,53,1
"260",36,19,2011-02-18,30,78,1
"261",36,20,2011-02-18,30,57,1
"262",37,1,2011-02-18,8,83,2
"263",38,1,2011-02-21,5,1,1
"264",38,2,2011-02-21,5,39,1
"265",38,3,2011-02-21,5,2,1
"266",38,4,2011-02-21,5,14,2
"267",38,5,2011-02-21,5,53,1
"268",38,6,2011-02-21,5,54,1
"269",38,7,2011-02-21,5,36,2
"270",39,1,2011-02-22,10,70,3
"271",39,2,2011-02-22,10,96,1
"272",39,3,2011-02-22,10,87,1
"273",39,4,2011-02-22,10,79,1
"274",39,5,2011-02-22,10,65,1
"275",39,6,2011-02-22,10,46,1
"276",39,7,2011-02-22,10,72,1
"277",39,8,2011-02-22,10,58,1
"278",39,9,2011-02-22,10,52,1
"279",39,10,2011-02-22,10,57,1
"280",39,11,2011-02-22,10,66,1
"281",39,12,2011-02-22,10,61,1
"282",39,13,2011-02-22,10,80,1
"283",39,14,2011-02-22,10,90,1
"284",39,15,2011-02-22,10,73,1
"285",39,16,2011-02-22,10,6,1
"286",39,17,2011-02-22,10,41,1
"287",39,18,2011-02-22,10,74,1
"288",39,19,2011-02-22,10,9,3
"289",39,20,2011-02-22,10,50,1
"290",39,21,2011-02-22,10,63,1
"291",39,22,2011-02-22,10,20,1
"292",39,23,2011-02-22,10,83,1
"293",39,24,2011-02-22,10,93,1
"294",39,25,2011-02-22,10,44,1
"295",39,26,2011-02-22,10,42,1
"296",39,27,2011-02-22,10,71,1
"297",39,28,2011-02-22,10,86,1
"298",39,29,2011-02-22,10,97,1
"299",40,1,2011-02-22,14,73,1
"300",41,1,2011-02-22,13,29,1
"301",41,2,2011-02-22,13,65,2
"302",42,1,2011-02-22,13,75,1
"303",42,2,2011-02-22,13,95,3
"304",42,3,2011-02-22,13,42,1
"305",42,4,2011-02-22,13,90,1
"306",42,5,2011-02-22,13,25,4
"307",42,6,2011-02-22,13,7,1
"308",42,7,2011-02-22,13,24,1
"309",42,8,2011-02-22,13,15,1
"310",42,9,2011-02-22,13,5,3
"311",42,10,2011-02-22,13,1,1
"312",42,11,2011-02-22,13,17,2
"313",42,12,2011-02-22,13,2,1
"314",42,13,2011-02-22,13,72,1
"315",42,14,2011-02-22,13,18,1
"316",42,15,2011-02-22,13,41,1
"317",42,16,2011-02-22,13,71,1
"318",42,17,2011-02-22,13,52,1
"319",42,18,2011-02-22,13,44,1
"320",43,1,2011-02-28,24,18,1
"321",43,2,2011-02-28,24,84,1
"322",43,3,2011-02-28,24,65,1
"323",43,4,2011-02-28,24,70,1
"324",43,5,2011-02-28,24,37,6
"325",43,6,2011-02-28,24,88,1
"326",43,7,2011-02-28,24,73,7
"327",43,8,2011-02-28,24,19,1
"328",43,9,2011-02-28,24,61,1
"329",43,10,2011-02-28,24,23,1
"330",43,11,2011-02-28,24,31,2
"331",43,12,2011-02-28,24,71,1
"332",43,13,2011-02-28,24,50,1
"333",44,1,2011-02-28,16,34,1
"334",44,2,2011-02-28,16,41,1
"335",44,3,2011-02-28,16,19,1
"336",44,4,2011-02-28,16,44,1
"337",44,5,2011-02-28,16,89,1
"338",44,6,2011-02-28,16,71,1
"339",44,7,2011-02-28,16,95,1
"340",44,8,2011-02-28,16,65,1
"341",44,9,2011-02-28,16,79,1
"342",44,10,2011-02-28,16,36,1
"343",44,11,2011-02-28,16,90,1
"344",44,12,2011-02-28,16,77,1
"345",44,13,2011-02-28,16,48,1
"346",44,14,2011-02-28,16,96,1
"347",44,15,2011-02-28,16,18,1
"348",45,1,2011-02-28,2,27,3
"349",45,2,2011-02-28,2,63,1
"350",45,3,2011-02-28,2,64,1
"351",45,4,2011-02-28,2,50,1
"352",45,5,2011-02-28,2,54,1
"353",45,6,2011-02-28,2,67,1
"354",46,1,2011-02-28,8,76,1
"355",46,2,2011-02-28,8,61,1
"356",46,3,2011-02-28,8,47,1
"357",46,4,2011-02-28,8,65,2
"358",47,1,2011-03-03,10,8,1
"359",47,2,2011-03-03,10,65,5
"360",47,3,2011-03-03,10,28,1
"361",47,4,2011-03-03,10,21,1
"362",47,5,2011-03-03,10,51,1
