"","X","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue"
"1",791419,560238,"21671","RED SPOT CERAMIC DRAWER KNOB",12,"2011-07-17 11:41:00",1.25,17725,"United Kingdom",15
"2",828802,563538,"20713","JUMBO BAG OWLS",2,"2011-08-17 11:48:00",2.08,17841,"United Kingdom",4.16
"3",555319,538827,"21632","VINTAGE PINK DECORATIVE PARASOL",12,"2010-12-14 12:59:00",3.95,14298,"United Kingdom",47.4
"4",882573,568065,"22653","BUTTON BOX ",10,"2011-09-23 13:44:00",1.95,16240,"United Kingdom",19.5
"5",327254,521354,"22383","LUNCH BAG SUKI  DESIGN ",20,"2010-09-03 15:19:00",1.65,12361,"Belgium",33
"6",805916,561430,"10133","COLOURING PENCILS BROWN TUBE",20,"2011-07-27 11:29:00",0.42,15172,"United Kingdom",8.4
"7",1019461,578258,"23275","SET OF 3 HANGING OWLS OLLIE BEAK",2,"2011-11-23 13:01:00",1.25,13263,"United Kingdom",2.5
"8",392940,527139,"18098C","PORCELAIN BUTTERFLY OIL BURNER",6,"2010-10-15 10:16:00",2.95,13136,"United Kingdom",17.7
"9",110742,499993,"21869","POTTING SHED COFFEE MUG",6,"2010-03-03 16:49:00",1.25,14157,"United Kingdom",7.5
"10",850176,565413,"21174","POTTERING IN THE SHED METAL SIGN",12,"2011-09-04 11:49:00",2.08,18223,"United Kingdom",24.96
"11",760598,557626,"22708","WRAP DOLLY GIRL",25,"2011-06-21 14:29:00",0.42,14175,"United Kingdom",10.5
"12",779657,559298,"POST","POSTAGE",6,"2011-07-07 12:38:00",18,12471,"Germany",108
"13",336288,522135,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,"2010-09-13 10:05:00",2.95,16860,"United Kingdom",23.6
"14",375723,525715,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",4,"2010-10-06 14:31:00",3.95,16307,"United Kingdom",15.8
"15",905784,569767,"22637","PIGGY BANK RETROSPOT ",6,"2011-10-06 11:24:00",2.55,14849,"United Kingdom",15.3
"16",502649,536324,"21212","PACK OF 72 RETROSPOT CAKE CASES",120,"2010-11-30 16:25:00",0.42,14646,"Netherlands",50.4
"17",938980,572315,"22457","NATURAL SLATE HEART CHALKBOARD ",3,"2011-10-23 16:00:00",2.95,14504,"United Kingdom",8.85
"18",471822,533828,"48194","DOORMAT HEARTS",2,"2010-11-19 10:06:00",7.95,13317,"United Kingdom",15.9
"19",647521,546849,"20767","BLUE PAISLEY JOURNAL ",1,"2011-03-17 13:13:00",2.55,13623,"United Kingdom",2.55
"20",607227,543173,"22969","HOMEMADE JAM SCENTED CANDLES",12,"2011-02-04 09:30:00",1.45,13871,"United Kingdom",17.4
"21",824270,563062,"21260","FIRST AID TIN",6,"2011-08-11 15:25:00",3.25,17811,"United Kingdom",19.5
"22",21058,491071,"22082","RIBBON REEL STRIPES DESIGN ",10,"2009-12-09 12:40:00",1.65,12924,"United Kingdom",16.5
"23",520489,537769,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,"2010-12-08 12:17:00",2.95,15021,"United Kingdom",23.6
"24",633144,545463,"22423","REGENCY CAKESTAND 3 TIER",3,"2011-03-03 08:36:00",12.75,13784,"United Kingdom",38.25
"25",7767,490071,"21537","RETRO SPOTS PUDDING BOWL",4,"2009-12-03 14:11:00",4.25,16497,"United Kingdom",17
"26",305694,519216,"21929","JUMBO BAG PINK VINTAGE PAISLEY",10,"2010-08-15 11:50:00",1.95,15641,"United Kingdom",19.5
"27",620624,544447,"21592","RETROSPOT CIGAR BOX MATCHES ",2,"2011-02-20 11:39:00",1.25,16466,"United Kingdom",2.5
"28",839087,564526,"20724","RED RETROSPOT CHARLOTTE BAG",10,"2011-08-25 14:50:00",0.85,15805,"United Kingdom",8.5
"29",59524,494732,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",6,"2010-01-18 12:27:00",2.95,16670,"United Kingdom",17.7
"30",696489,551351,"22488","NATURAL SLATE RECTANGLE CHALKBOARD",12,"2011-04-28 10:20:00",1.45,14298,"United Kingdom",17.4
"31",432580,530785,"22377","BOTTLE BAG RETROSPOT ",5,"2010-11-04 12:09:00",2.1,17702,"United Kingdom",10.5
"32",312238,519804,"22752","SET 7 BABUSHKA NESTING BOXES",2,"2010-08-20 12:31:00",8.5,16332,"United Kingdom",17
"33",368327,525025,"20754","RETROSPOT RED WASHING UP GLOVES",2,"2010-10-03 12:07:00",2.1,13838,"United Kingdom",4.2
"34",1001061,576906,"85049E","SCANDINAVIAN REDS RIBBONS",24,"2011-11-17 09:33:00",1.25,18225,"United Kingdom",30
"35",713358,553011,"85135B","BLUE DRAGONFLY HELICOPTER",1,"2011-05-12 17:03:00",7.95,14390,"United Kingdom",7.95
"36",328974,521482,"21285","RETRO SPOT CANDLE  MEDIUM",12,"2010-09-06 13:20:00",2.1,15809,"United Kingdom",25.2
"37",82651,496978,"21069","VINTAGE BILLBOARD TEA MUG",12,"2010-02-05 09:53:00",1.25,15326,"United Kingdom",15
"38",602704,542717,"84520B","PACK 20 ENGLISH ROSE PAPER NAPKINS",1,"2011-01-31 14:07:00",0.85,17580,"United Kingdom",0.85
"39",143919,503066,"21899","KEY FOB , GARAGE DESIGN",24,"2010-03-30 09:32:00",0.65,16570,"United Kingdom",15.6
"40",345206,522991,"22594","CHRISTMAS GINGHAM TREE",12,"2010-09-19 15:16:00",0.85,13709,"United Kingdom",10.2
"41",890045,568668,"21479","WHITE SKULL HOT WATER BOTTLE ",2,"2011-09-28 13:00:00",4.25,15750,"United Kingdom",8.5
"42",399093,527505,"22470","HEART OF WICKER LARGE",1,"2010-10-18 12:25:00",2.95,17841,"United Kingdom",2.95
"43",214876,510197,"21125","SET 6 FOOTBALL CELEBRATION CANDLES",1,"2010-05-27 20:20:00",1.25,17231,"United Kingdom",1.25
"44",837770,564346,"22295","HEART FILIGREE DOVE LARGE",12,"2011-08-24 14:54:00",1.65,15727,"United Kingdom",19.8
"45",839601,564565,"48184","DOORMAT ENGLISH ROSE ",2,"2011-08-26 10:50:00",7.95,14911,"EIRE",15.9
"46",368603,525037,"84997A","GREEN 3 PIECE POLKADOT CUTLERY SET",24,"2010-10-03 12:40:00",3.75,14911,"EIRE",90
"47",498028,535956,"22829","SWEETHEART WIRE WALL TIDY",1,"2010-11-29 12:20:00",9.95,17756,"United Kingdom",9.95
"48",84397,497226,"21485","RED SPOT HEART HOT WATER BOTTLE",2,"2010-02-07 15:56:00",4.95,13394,"United Kingdom",9.9
"49",389209,526852,"35961","FOLKART ZINC HEART CHRISTMAS DEC",12,"2010-10-13 12:44:00",0.85,15134,"United Kingdom",10.2
"50",640459,546096,"22831","WHITE BROCANTE SOAP DISH",6,"2011-03-09 11:59:00",2.95,15502,"United Kingdom",17.7
"51",548621,538184,"20979","36 PENCILS TUBE RED RETROSPOT",16,"2010-12-10 10:21:00",1.25,17880,"United Kingdom",20
"52",410445,528640,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",24,"2010-10-24 11:47:00",3.45,13555,"United Kingdom",82.8
"53",517227,537484,"85064","CREAM SWEETHEART LETTER RACK",4,"2010-12-07 11:30:00",5.45,14733,"United Kingdom",21.8
"54",290246,517645,"22139","RETRO SPOT TEA SET CERAMIC 11 PC ",12,"2010-07-30 13:31:00",4.95,14911,"EIRE",59.4
"55",927391,571446,"22979","PANTRY WASHING UP BRUSH",48,"2011-10-17 13:46:00",1.45,14911,"EIRE",69.6
"56",883159,568104,"21774","DECORATIVE CATS BATHROOM BOTTLE",1,"2011-09-23 15:50:00",1.25,16485,"United Kingdom",1.25
"57",589907,541615,"22564","ALPHABET STENCIL CRAFT",5,"2011-01-20 10:43:00",1.25,16395,"United Kingdom",6.25
"58",676653,549546,"22666","RECIPE BOX PANTRY YELLOW DESIGN",4,"2011-04-10 11:24:00",2.95,16889,"United Kingdom",11.8
"59",598401,542274,"22173","METAL 4 HOOK HANGER FRENCH CHATEAU",8,"2011-01-27 10:02:00",2.95,16782,"United Kingdom",23.6
"60",925098,571283,"22098","BOUDOIR SQUARE TISSUE BOX",20,"2011-10-16 13:51:00",0.39,16533,"United Kingdom",7.8
"61",325471,521150,"22413","METAL SIGN TAKE IT OR LEAVE IT ",12,"2010-09-02 13:33:00",2.95,13564,"United Kingdom",35.4
"62",1041748,579885,"22801","ANTIQUE GLASS PEDESTAL BOWL",1,"2011-11-30 17:37:00",3.75,15444,"United Kingdom",3.75
"63",409988,528621,"22468","BABUSHKA LIGHTS STRING OF 10",2,"2010-10-24 10:41:00",6.75,14800,"United Kingdom",13.5
"64",489170,535263,"22360","GLASS JAR ENGLISH CONFECTIONERY",2,"2010-11-25 13:29:00",2.95,14710,"United Kingdom",5.9
"65",764993,558058,"23093","SMALL PARISIENNE HEART PHOTO FRAME ",8,"2011-06-24 15:00:00",2.49,14766,"United Kingdom",19.92
"66",94153,498240,"21242","RED SPOTTY PLATE ",16,"2010-02-17 14:35:00",1.69,12921,"United Kingdom",27.04
"67",551527,538473,"21166","COOK WITH WINE METAL SIGN ",4,"2010-12-12 12:35:00",1.95,13668,"United Kingdom",7.8
"68",408223,528470,"85173","SET/6 FROG PRINCE T-LIGHT CANDLES",1,"2010-10-22 11:40:00",2.55,16392,"United Kingdom",2.55
"69",1057484,580982,"21509","COWBOYS AND INDIANS BIRTHDAY CARD ",12,"2011-12-06 16:21:00",0.42,17861,"United Kingdom",5.04
"70",88197,497628,"22384","LUNCH BAG PINK RETROSPOT",2,"2010-02-11 13:03:00",1.65,15005,"United Kingdom",3.3
"71",511758,537153,"22489","PACK OF 12 TRADITIONAL CRAYONS",10,"2010-12-05 13:03:00",0.42,16718,"United Kingdom",4.2
"72",61691,494871,"21644","ASSORTED TUTTI FRUTTI HEART BOX",36,"2010-01-19 12:17:00",1.25,17706,"United Kingdom",45
"73",121669,501010,"21688","SILVER PLATE CANDLE BOWL SMALL",4,"2010-03-11 15:33:00",2.95,13715,"United Kingdom",11.8
"74",418798,529351,"22909","SET OF 20 VINTAGE CHRISTMAS NAPKINS",12,"2010-10-28 09:29:00",0.85,12766,"Portugal",10.2
"75",13280,490473,"21687","SILVER PLATE CANDLE BOWL LARGE",2,"2009-12-06 12:31:00",3.75,15860,"United Kingdom",7.5
"76",1002865,577057,"22328","ROUND SNACK BOXES SET OF 4 FRUITS ",1,"2011-11-17 14:26:00",2.95,12748,"United Kingdom",2.95
"77",314963,520041,"22629","SPACEBOY LUNCH BOX ",12,"2010-08-23 14:12:00",1.95,13081,"United Kingdom",23.4
"78",567207,539957,"22616","PACK OF 12 LONDON TISSUES ",24,"2010-12-23 12:58:00",0.29,12585,"Germany",6.96
"79",241800,512766,"85174","S/4 CACTI CANDLES",1,"2010-06-17 16:20:00",4.95,13077,"United Kingdom",4.95
"80",424078,529935,"22297","HEART IVORY TRELLIS SMALL",1,"2010-10-31 14:40:00",1.25,17449,"United Kingdom",1.25
