Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,week,month,year
527759,21011,GLITTER SNOW PEAR TREE DECORATION,2,2010-10-18T17:11:00Z,1.45,14572,United Kingdom,2.9,42,10,2010
547358,21094,SET/6 RED SPOTTY PAPER PLATES,4,2011-03-22T12:25:00Z,0.85,15998,United Kingdom,3.4,12,3,2011
493964,21224,SET/4 SKULL BADGES,10,2010-01-08T16:29:00Z,1.25,12714,France,12.5,2,1,2010
578270,35970,ZINC FOLKART SLEIGH BELLS,5,2011-11-23T13:39:00Z,4.13,14096,United Kingdom,20.65,47,11,2011
560451,23077,DOUGHNUT LIP GLOSS,40,2011-07-19T09:50:00Z,1.25,14911,EIRE,50,29,7,2011
520041,22451,SILK PURSE BABUSHKA RED,6,2010-08-23T14:12:00Z,3.35,13081,United Kingdom,20.1,34,8,2010
508751,21984,PACK OF 12 PINK PAISLEY TISSUES,48,2010-05-18T11:49:00Z,0.29,13018,United Kingdom,13.919999999999998,20,5,2010
560255,22634,CHILDS BREAKFAST SET SPACEBOY,2,2011-07-17T13:08:00Z,9.95,16054,United Kingdom,19.9,29,7,2011
533301,22294,HEART FILIGREE DOVE  SMALL,24,2010-11-16T16:46:00Z,1.25,15811,United Kingdom,30,46,11,2010
531382,22186,RED STAR CARD HOLDER,2,2010-11-07T16:29:00Z,2.95,16549,United Kingdom,5.9,45,11,2010
520538,20998,ROSE DU SUD OVEN GLOVE,6,2010-08-26T15:54:00Z,2.95,17730,United Kingdom,17.700000000000003,34,8,2010
535399,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,1,2010-11-26T11:01:00Z,2.55,15550,United Kingdom,2.55,48,11,2010
553765,22077,6 RIBBONS RUSTIC CHARM,12,2011-05-19T10:43:00Z,1.65,17245,United Kingdom,19.799999999999997,20,5,2011
578302,23399,HOME SWEET HOME HANGING HEART,12,2011-11-23T15:23:00Z,0.85,16057,United Kingdom,10.2,47,11,2011
534701,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2010-11-23T16:08:00Z,4.95,15808,United Kingdom,29.700000000000003,47,11,2010
527336,16161P,WRAP ENGLISH ROSE,25,2010-10-15T15:29:00Z,0.42,18151,United Kingdom,10.5,42,10,2010
503907,21187,WHITE BELL HONEYCOMB PAPER GARLAND,288,2010-04-08T12:23:00Z,1.45,18251,United Kingdom,417.6,14,4,2010
506228,21124,SET/10 BLUE SPOTTY PARTY CANDLES,2,2010-04-28T12:15:00Z,1.25,13775,United Kingdom,2.5,17,4,2010
533149,71459,HANGING JAM JAR T-LIGHT HOLDER,8,2010-11-16T13:43:00Z,0.85,13571,United Kingdom,6.8,46,11,2010
542303,22511,RETROSPOT BABUSHKA DOORSTOP,4,2011-01-27T11:05:00Z,3.75,12539,Spain,15,4,1,2011
570230,21621,VINTAGE UNION JACK BUNTING,1,2011-10-09T13:41:00Z,8.5,18088,United Kingdom,8.5,41,10,2011
518505,21096,SET/6 FRUIT SALAD  PAPER PLATES,7008,2010-08-09T13:10:00Z,0.13,14277,France,911.04,32,8,2010
514164,82578,KITCHEN METAL SIGN,12,2010-06-30T15:35:00Z,0.55,13872,United Kingdom,6.6000000000000005,26,6,2010
530346,22488,NATURAL SLATE RECTANGLE CHALKBOARD,24,2010-11-02T15:42:00Z,1.65,14733,United Kingdom,39.599999999999994,44,11,2010
522513,21169,YOU'RE CONFUSING ME METAL SIGN,144,2010-09-15T11:35:00Z,1.45,14156,EIRE,208.8,37,9,2010
